Summary,Issue Type,Priority,Story Points,Labels,Sprint,Description,Acceptance Criteria
"[Spike] SecureGPT REST API integration & structured output validation",Story,High,3,spike;securegpt;openshift,Sprint 1,"Validate SecureGPT REST API integration before building any generation jobs. Authenticate using API key stored in OpenShift Secret. Test one end-to-end call: read a real company's SEC + Alpha Vantage rows from Azure SQL, assemble a prompt, call SecureGPT, and parse the JSON response. Confirm: JSON mode availability, context window limits, latency per call, error response format, and retry behavior. Deliver findings doc and a working prototype script before Sprint 2 job development begins.","[ ] SecureGPT REST API callable from OpenShift dev environment using API key from Secret; [ ] JSON-mode or structured output prompt confirmed working and producing parseable output; [ ] Context window limit documented; chunking strategy defined if SEC text exceeds limit; [ ] Average latency per call benchmarked (target: under 30s); [ ] Error response format documented (rate limit, timeout, invalid request); [ ] Retry strategy defined (max retries, backoff); [ ] Prototype script reads from Azure SQL, calls SecureGPT, parses output, and prints structured result; [ ] Findings committed to /docs/research/securegpt-spike.md"
"[DB] Extend schema for AI-generated reasoning fields",Story,High,3,database;ddl,Sprint 1,"Extend company_risk_insights and company_followup_questions tables to store all AI-generated fields needed by the detail modals. Also add company_insight_relations table for cross-linking insights, metrics, and questions. Add user_flagged_questions table for per-user question flagging. Run as a versioned migration script.

ALTER company_risk_insights ADD: underwriting_relevance nvarchar(max), supporting_evidence nvarchar(max), source_json nvarchar(max), risk_type varchar(100).

ALTER company_followup_questions ADD: summary nvarchar(max), following_risk nvarchar(max), underwriting_relevance nvarchar(max), source_json nvarchar(max).

CREATE company_insight_relations: relation_id (PK identity), source_type varchar(50), source_id int, target_type varchar(50), target_id int, company_id FK, batch_date date.

CREATE user_flagged_questions: id (PK identity), user_id varchar(100), company_id FK, question_id FK, flagged_at datetime.","[ ] All ALTER statements applied successfully to dev DB; [ ] company_insight_relations table created with correct columns and FK to companies; [ ] user_flagged_questions table created with unique constraint on (user_id, question_id); [ ] Migration script versioned and committed to /db/migrations/; [ ] BFF engineer reviewed and approved schema before job development begins; [ ] Existing data in company_risk_insights and company_followup_questions unaffected"
"[OpenShift] Python job scaffold & shared infrastructure",Story,High,3,openshift;setup,Sprint 1,"Create the base Python project structure shared by all AI generation CronJobs. Includes: Azure SQL connection utility (pyodbc + SQLAlchemy, reads connection string from OpenShift Secret), SecureGPT REST client (requests wrapper with retry logic, reads API key from OpenShift Secret), structured JSON logger, base prompt loader (reads prompt templates from config file), and Dockerfile. All jobs import from this shared package. Store in /jobs/ directory in the repo.","[ ] Shared package installable as local module by all job scripts; [ ] AzureSQLClient connects using credentials from env vars / OpenShift Secret; [ ] SecureGPTClient wraps requests.post with: auth header injection, configurable timeout, retry with exponential backoff (max 3 retries), raises on non-200; [ ] JSON logger outputs structured logs (timestamp, job_name, company_id, status); [ ] Dockerfile builds successfully and image runs on OpenShift; [ ] Unit tests cover SQL client connection and SecureGPT client retry logic; [ ] README documents how to add a new job using the shared scaffold"
"[OpenShift] Key Insights generation CronJob",Story,High,5,openshift;ai;securegpt,Sprint 2,"Build an OpenShift CronJob that generates Key Insights Summary cards for all companies. For each company: query SEC filing rows (title, body, date, filing_type) and Alpha Vantage news rows (headline, summary, sentiment_label, published_at) from Azure SQL. Assemble into a prompt requesting a JSON array of 8–10 insight objects. Call SecureGPT. Parse response. Write to company_insights (replacing previous batch). Prompt must instruct SecureGPT to return only valid JSON with fields: insight_type, severity (red/yellow/green), title, summary_text.","[ ] CronJob reads SEC and Alpha Vantage rows for each company from Azure SQL; [ ] Prompt assembled correctly — all source fields included; [ ] SecureGPT called once per company (chunked if text exceeds context window); [ ] Response parsed to list of insight dicts; malformed JSON logged and skipped (not crashed); [ ] All fields validated before DB write (severity must be red/yellow/green); [ ] company_insights rows replaced per company with new batch_date; [ ] Parse failure rate logged per run; [ ] Job completes for all companies within 2-hour SLA; [ ] CronJob schedule configured (daily, time configurable via env var); [ ] Unit tests cover prompt assembly, JSON parsing, and DB write; [ ] Deployed to OpenShift and verified end-to-end with 3 real companies"
"[OpenShift] Strategic & Risk Insights generation CronJob",Story,High,8,openshift;ai;securegpt,Sprint 2,"Build an OpenShift CronJob that generates Strategic & Risk Insights for all companies. Source data: SEC filing rows (especially 8-K, 10-K risk factors, MD&A, DEF 14A governance sections) + Alpha Vantage news with sentiment. Prompt instructs SecureGPT to return a JSON array of insight objects with: category (Governance & Leadership / Risk & Legal / Event Signals / Behavioral Insights), risk_type, severity (high/medium/low), title, body_text, underwriting_relevance, supporting_evidence, source_json (array of {label, url} citing the source rows used). Write to company_risk_insights replacing previous batch per company. Prompt and output version logged to ai_generation_log.","[ ] Prompt covers all 4 categories and instructs SecureGPT to cite sources by referencing specific filing titles/dates; [ ] Output JSON parsed to list of insight objects; [ ] All required fields present and validated before write; [ ] source_json populated with at least one source per insight; [ ] severity validated as high/medium/low; [ ] company_risk_insights rows replaced per company per batch_date; [ ] ai_generation_log row written per run with: prompt_version, input_tokens, output_tokens, latency_ms, parse_success; [ ] Malformed JSON retried once then skipped with error log; [ ] Job completes within 2-hour SLA; [ ] Unit tests cover prompt assembly, parsing, validation, and DB write; [ ] End-to-end test with 3 companies validates output quality and source grounding"
"[OpenShift] Follow-Up Questions generation CronJob",Story,High,8,openshift;ai;securegpt,Sprint 2,"Build an OpenShift CronJob that generates Suggested Follow-Up Questions for Brokers. Runs after Risk Insights job completes (scheduled offset or dependency check). Source data: same SEC + Alpha Vantage rows PLUS the freshly generated company_risk_insights rows for the company (to align questions with identified risks). Prompt requests 12–15 question objects with: category (Financial / Operational / Market / Strategy / Governance), question_text, summary, following_risk, underwriting_relevance, source_json. Write to company_followup_questions replacing previous batch per company.","[ ] Job reads both raw source data AND current batch risk insights before assembling prompt; [ ] Prompt requests 12–15 questions across all 5 categories; [ ] Each question object contains all required fields; [ ] source_json populated with cited sources; [ ] Questions grounded in source data (not generic); [ ] company_followup_questions rows replaced per company per batch_date; [ ] ai_generation_log row written per run; [ ] Malformed JSON handled gracefully; [ ] Job scheduled to run after Risk Insights job (30-min offset or completion check); [ ] Unit tests cover prompt assembly and parsing; [ ] End-to-end test with 3 companies validates question quality and category distribution"
"[OpenShift] Insight relation mapping CronJob",Story,Medium,5,openshift;ai;securegpt,Sprint 3,"Build an OpenShift CronJob that maps relationships between generated content: (1) each risk insight → related key insights, (2) each follow-up question → related key insights, related metrics, related risk insights. These power the Related Key Insight / Related Metrics / Related Risks tabs in the UI modals. Approach: call SecureGPT with the full set of insights and questions for a company and ask it to output a JSON relation map, OR use deterministic similarity matching (cosine similarity on embeddings) if SecureGPT approach proves unreliable in spike. Write to company_insight_relations.","[ ] Relations generated for all risk_insights → key_insights; [ ] Relations generated for all follow_up_questions → key_insights, metrics, risk_insights; [ ] company_insight_relations populated with correct source_type/source_id/target_type/target_id; [ ] At least 1 related key insight per risk insight and per follow-up question; [ ] Old relations replaced per company per batch; [ ] Job runs after both insights and questions jobs complete; [ ] Unit tests cover relation parsing and DB write; [ ] End-to-end test: modal tabs in UI display correct related items"
"[OpenShift] CronJob orchestration & failure alerting",Story,High,4,openshift;orchestration,Sprint 3,"Define execution order and failure handling across all four CronJobs. Execution order: (1) Key Insights → (2) Risk Insights → (3) Follow-Up Questions → (4) Relation Mapping. Implement a lightweight orchestration approach: either chained OpenShift CronJobs with time offsets, or a single orchestrator script that calls each job in sequence and stops on failure. On failure: send alert to Teams channel or email via webhook. Log overall batch run status to ai_generation_log with start_time, end_time, status (success/partial/failed), and per-company success count.","[ ] Jobs run in correct order daily; [ ] Failure in upstream job prevents downstream jobs from running; [ ] Alert sent to Teams/email on any job failure with job name, company_id, and error message; [ ] Overall batch run logged to ai_generation_log; [ ] Schedule configurable via OpenShift CronJob spec (default 2 AM UTC); [ ] Retry policy per job: max 2 retries with 5-min backoff before alerting; [ ] Orchestration approach documented in /docs/jobs/orchestration.md"
"[OpenShift] Prompt version control & AI generation logging",Story,Medium,3,openshift;mlops,Sprint 3,"Implement prompt versioning and output quality logging for all generation jobs. Prompt templates stored as versioned .txt or .yaml files in /jobs/prompts/ in the repo — changing a prompt requires a version bump. Each job run writes a row to ai_generation_log table in Azure SQL: run_id, job_name, company_id, prompt_version, model, input_tokens, output_tokens, latency_ms, parse_success (bit), error_message, batch_date. Enables tracking of prompt changes and regression detection over time.","[ ] Prompt templates stored in /jobs/prompts/ as versioned files; [ ] Prompt version string injected into each job at runtime; [ ] ai_generation_log table created with all required columns; [ ] Every SecureGPT call writes a log row; [ ] parse_success = 0 rows queryable to monitor failure rate; [ ] Changing a prompt requires updating version string (enforced by code); [ ] Simple SQL query to show parse failure rate by job and prompt version documented in /docs/jobs/monitoring.md"
"[BFF] Risk Insights detail modal endpoints",Story,High,4,bff;api,Sprint 3,"Add two BFF endpoints to support the Strategic & Risk Insights detail modal. GET /api/companies/:id/risk-insights/:risk_id returns full insight detail including all AI-generated fields: body_text, underwriting_relevance, supporting_evidence, source_json (deserialized to array). GET /api/companies/:id/risk-insights/:risk_id/relations returns related key insights, metrics, and follow-up questions grouped by target_type, queried from company_insight_relations.","[ ] GET /risk-insights/:risk_id returns: category, risk_type, severity, title, body_text, underwriting_relevance, supporting_evidence, source_json as array, updated_at; [ ] GET /risk-insights/:risk_id/relations returns grouped relations: {key_insights: [...], metrics: [...], follow_up_questions: [...]}; [ ] source_json deserialized correctly from stored JSON string; [ ] Returns 404 if risk_id not found or does not belong to company; [ ] Responses conform to TypeScript interfaces; [ ] Unblocks FE modal implementation"
"[BFF] Follow-Up Questions detail modal, flag & export endpoints",Story,High,5,bff;api,Sprint 3,"Add BFF endpoints for Follow-Up Questions section. GET /api/companies/:id/follow-up-questions/:question_id returns full question detail. GET /api/companies/:id/follow-up-questions/:question_id/relations returns related items by type. POST /api/companies/:id/follow-up-questions/:question_id/flag toggles flag for current user (upsert/delete in user_flagged_questions). GET /api/companies/:id/follow-up-questions/flagged-count returns count of flagged questions for current user. POST /api/companies/:id/follow-up-questions/export returns all flagged questions as structured payload for download.","[ ] GET question detail returns: category, question_text, summary, following_risk, underwriting_relevance, source_json as array; [ ] GET relations returns grouped: {key_insights, metrics, risk_insights}; [ ] POST flag toggles correctly — flag if not flagged, unflag if already flagged; [ ] GET flagged-count returns integer; [ ] POST export returns all flagged questions with full detail fields; [ ] All endpoints scoped to authenticated user via auth middleware; [ ] Responses conform to TypeScript interfaces"
"[FE] Strategic & Risk Insights — detail modal",Story,High,5,frontend;feat,Sprint 4,"Implement the lightbulb icon → detail modal for Strategic & Risk Insights. Left panel: Category badge (color-coded), Risk Type badge, Updated At timestamp, Summary section, Underwriting Relevance section, Supporting Evidence section, Sources list (clickable links, open in new tab). Right panel: three tabs — Related Key Insight (renders insight cards with severity color), Related Metrics, Related Follow-Up Questions. Data from GET /risk-insights/:risk_id and GET /risk-insights/:risk_id/relations.","[ ] Modal opens on lightbulb icon click; [ ] Category badge color matches category type; [ ] All left panel fields rendered correctly; [ ] Sources render as external links opening in new tab; [ ] Three tabs render correct related content; [ ] Related Key Insight tab shows insight cards with severity border color; [ ] Loading skeleton shown while both API calls in flight; [ ] Modal closes on X click or Escape key; [ ] Focus trap active while modal open; [ ] Empty state per tab if no relations exist"
"[FE] Follow-Up Questions — detail modal, flag & export",Story,High,5,frontend;feat,Sprint 4,"Implement Follow-Up Questions section interactions. Lightbulb icon → detail modal: shows category badge, question text, Summary, Following Risk, Underwriting Relevance, Sources. Right panel: Related Key Insight / Related Metrics / Related Risks tabs. Flag button (red flag icon) per question row: optimistic toggle, calls POST /flag, updates flagged count badge in section header ('9 Question(s) Flagged'). Export Questions button: calls POST /export, triggers CSV/PDF download or opens email compose. Data from GET /follow-up-questions/:question_id and /relations.","[ ] Modal opens on lightbulb icon click with all fields rendered; [ ] Three right-panel tabs work correctly; [ ] Flag button toggles optimistically — reverts on API failure; [ ] Flagged count badge in section header updates in real time; [ ] Export Questions button triggers correct download or email action; [ ] Loading skeleton shown while modal data fetching; [ ] Modal accessible: focus trap, Escape to close; [ ] Empty states handled per tab"
