"Issue ID","Parent ID","Issue Type","Summary","Description","Epic Name","Epic Link","Story Points","Priority","Labels","Component"
"1","","Epic","Migrate document processing pipeline from Databricks to OpenShift","The document processing logic currently runs as a Databricks job that monitors an ADLS Gen2 landing folder, processes new files, and writes results back to ADLS for user download. The frontend and backend already run on OpenShift.

This epic moves the processing logic into a single-replica, always-on Python worker on OpenShift that processes files SERIALLY, driven by a job table in Azure SQL. There is no Spark dependency and daily volume is a few dozen files, so one pod is sufficient.

Serial processing in a single pod is also the throttling strategy: the internal LLM gateway enforces a per-minute token limit, and one in-flight request at a time keeps us under it without any distributed rate limiter.

EXPLICITLY OUT OF SCOPE (deliberate - do not add back): message queue, distributed rate limiting, horizontal autoscaling, per-file Kubernetes Jobs.

SUCCESS CRITERIA:
- All new uploads processed by the OpenShift worker, output byte-identical to Databricks.
- Multi-file uploads drain in order without triggering LLM gateway rate limits.
- Databricks job disabled; rollback possible within 1 hour for 30 days after cutover.","Migrate Document Processing to OpenShift","","","High","databricks-to-openshift","Document Processing"
"2","1","Story","Inventory Databricks dependencies and profile current workload","Collect the facts needed to size the OpenShift worker and set realistic expectations for throughput. Deliverable is a one-page document listing every Databricks-specific API in use with its replacement, plus the workload profile numbers.

ACCEPTANCE CRITERIA:
- Written inventory of Databricks-specific APIs and their replacements.
- Workload profile captured (timings, memory, volumes, token usage).
- Initial CPU/memory request and limit values backed by measured data, not guesses.","","Migrate Document Processing to OpenShift","2","High","databricks-to-openshift","Document Processing"
"3","2","Sub-task","List all Databricks-specific calls: dbutils.fs, dbutils.secrets, DBFS paths, notebook widgets","","","","","High","databricks-to-openshift","Document Processing"
"4","2","Sub-task","Export from job run history: per-file processing time p50/p95/max, peak memory, daily and peak file counts","","","","","High","databricks-to-openshift","Document Processing"
"5","2","Sub-task","Measure average token consumption per file and divide by the LLM gateway TPM quota to derive theoretical throughput (files per minute)","","","","","High","databricks-to-openshift","Document Processing"
"6","2","Sub-task","Confirm requirements.txt installs on a clean Python environment (DBR pre-installs many libraries)","","","","","High","databricks-to-openshift","Document Processing"
"7","2","Sub-task","Document recommended CPU/memory requests and limits","","","","","High","databricks-to-openshift","Document Processing"
"8","1","Story","Create processing_job table and claim semantics in Azure SQL","The job table replaces both the folder-monitoring trigger and a message queue. The backend inserts a row on upload; the worker polls for QUEUED rows and claims them atomically.

ACCEPTANCE CRITERIA:
- processing_job table created with migration script under version control.
- Worker can claim a job atomically; no double-claim on restart or overlapping polls.
- Stale RUNNING rows left by a crashed pod are recovered automatically.","","Migrate Document Processing to OpenShift","3","High","databricks-to-openshift","Document Processing"
"9","8","Sub-task","Create processing_job table: job_id, blob_path, status (QUEUED/RUNNING/SUCCEEDED/FAILED), attempt_count, error_message, output_path, created_at, started_at, finished_at","","","","","High","databricks-to-openshift","Document Processing"
"10","8","Sub-task","Add Alembic migration script and a composite index on (status, created_at)","","","","","High","databricks-to-openshift","Document Processing"
