Summary,Issue Type,Priority,Story Points,Labels,Sprint,Description,Acceptance Criteria
"[Spike] SEC EDGAR API — data extraction feasibility",Story,High,3,spike;research;sec;databricks,Sprint 1,"Evaluate SEC EDGAR as a data source for company filings used to generate Strategic & Risk Insights and Follow-Up Questions. Target filing types: 10-K (annual report), 10-Q (quarterly), 8-K (material events), DEF 14A (proxy — governance/leadership). Assess: which endpoints to use (EDGAR full-text search vs company facts API vs RSS), how to resolve company name to CIK, filing latency after publication, and coverage for non-US companies. Deliver a short findings doc and a recommended extraction approach before Sprint 2 Databricks work begins.","[ ] EDGAR full-text search and company facts APIs tested; [ ] Company name → CIK resolution approach documented (EDGAR company search or pre-built mapping table); [ ] Filing types confirmed: 10-K, 10-Q, 8-K, DEF 14A; [ ] Latency from filing publication to EDGAR availability measured; [ ] Coverage gap identified for non-US / private companies; [ ] Recommended extraction method documented (REST API vs RSS feed vs bulk download); [ ] Findings committed to /docs/research/sec-edgar-spike.md"
"[Spike] Alpha Vantage — news & transcript extraction feasibility",Story,High,3,spike;research;alphavantage;databricks,Sprint 1,"Evaluate Alpha Vantage News & Sentiments API and Earnings Call Transcript API as data sources. Test against 5+ sample tickers. Assess: news coverage quality and freshness, sentiment label usefulness for risk classification, transcript availability and tier requirements, rate limits, and cost at production scale (number of companies × call frequency). Compare against Polygon.io or Benzinga as alternatives. Deliver go/no-go recommendation before Sprint 2.","[ ] News & Sentiments API tested against 5+ tickers; [ ] Earnings Transcript API tested — tier requirements confirmed; [ ] Sentiment labels (bullish/bearish/neutral) evaluated for mapping to severity (high/medium/low); [ ] Rate limit and cost model documented for production scale; [ ] Comparison table produced: Alpha Vantage vs at least one alternative; [ ] Go/No-Go recommendation delivered; [ ] Findings committed to /docs/research/alpha-vantage-spike.md"
"[Spike] SecureGPT API integration & prompt feasibility",Story,High,3,spike;research;securegpt;databricks,Sprint 1,"Evaluate SecureGPT as the LLM for generating Strategic & Risk Insights, Follow-Up Questions, Key Insights Summary, and reasoning fields (Underwriting Relevance, Supporting Evidence, Following Risk). Assess: API access method, authentication, context window limits, output format control (JSON mode or structured output), latency per call, cost per 1M tokens, and data residency/compliance requirements given AXA's security policies. Prototype one end-to-end call: raw SEC text in → structured JSON insight out.","[ ] SecureGPT API accessible from Databricks cluster; [ ] Auth method documented; [ ] JSON-mode or structured output confirmed working; [ ] Context window limit documented and chunking strategy defined if needed; [ ] Latency per call benchmarked (target: under 30s per company per call); [ ] Cost per company per batch run estimated; [ ] Compliance sign-off obtained or flagged for review; [ ] Prototype call produces valid structured JSON insight object; [ ] Findings committed to /docs/research/securegpt-spike.md"
"[DB] Add schema fields for AI-generated content and sources",Story,High,3,database;ddl,Sprint 2,"Extend the existing schema to support AI-generated reasoning fields and source citations visible in the detail modals. Add to company_risk_insights: underwriting_relevance (nvarchar), supporting_evidence (nvarchar), source_json (nvarchar(max) — JSON array of {label, url}), risk_type (varchar). Add to company_followup_questions: summary (nvarchar), following_risk (nvarchar), underwriting_relevance (nvarchar), source_json (nvarchar(max)), category updated to include Financial/Operational/Market/Strategy/Governance. Add company_insight_relations table to link risk insights and follow-up questions to related key insights and metrics.","[ ] company_risk_insights extended with underwriting_relevance, supporting_evidence, source_json, risk_type columns; [ ] company_followup_questions extended with summary, following_risk, underwriting_relevance, source_json columns; [ ] company_insight_relations table created: relation_id (PK), source_type (risk_insight/followup_question), source_id, target_type (key_insight/metric/risk), target_id; [ ] Migration script created and applied to dev DB; [ ] Schema changes reviewed and approved before Databricks job development begins"
"[Databricks] SEC EDGAR ingestion job",Story,High,5,databricks;ingestion;sec,Sprint 2,"Build a Databricks batch job that ingests SEC filings for all tracked companies. For each company: resolve ticker/name to CIK, fetch latest 10-K, 10-Q, 8-K, and DEF 14A filings from EDGAR, extract and clean the relevant text sections (MD&A, Risk Factors, Governance, Material Events). Store raw extracted text in a staging table (company_filing_raw) with filing_type, period_date, and cik. Job runs daily — only fetches filings newer than last run (incremental).","[ ] Job resolves all tracked company names/tickers to CIK correctly; [ ] Fetches 10-K, 10-Q, 8-K, DEF 14A for each company; [ ] Incremental fetch — only new filings since last batch_date processed; [ ] Raw text cleaned (HTML tags removed, boilerplate stripped); [ ] Stored in company_filing_raw with: company_id, cik, filing_type, period_date, raw_text, ingested_at; [ ] Job handles missing CIK (private/non-US companies) gracefully with logged warning; [ ] Unit tests cover CIK resolution and text extraction; [ ] Job runs successfully in Databricks and completes within SLA"
"[Databricks] Alpha Vantage ingestion job",Story,High,4,databricks;ingestion;alphavantage,Sprint 2,"Build a Databricks batch job that ingests news articles and earnings call transcripts from Alpha Vantage for all tracked companies. Fetch News & Sentiments per ticker (last 7 days, daily incremental). Fetch latest available earnings transcript per ticker. Store raw results in staging tables: company_news_raw (ticker, headline, source, url, sentiment_label, sentiment_score, published_at) and company_transcript_raw (ticker, quarter, raw_text, fetched_at). Handle rate limits with retry + backoff.","[ ] News fetched daily for all tickers with deduplication on published_at + url; [ ] Transcripts fetched for latest available quarter per ticker; [ ] Rate limit handling: exponential backoff with max 3 retries; [ ] Raw news stored in company_news_raw with all fields; [ ] Raw transcripts stored in company_transcript_raw; [ ] Job logs tickers with failed or empty responses; [ ] Unit tests cover pagination and rate limit retry; [ ] Job completes within daily batch SLA"
"[Databricks] SecureGPT — Strategic & Risk Insights generation",Story,High,8,databricks;ai;securegpt,Sprint 3,"Build a Databricks job that reads staged SEC and Alpha Vantage text, calls SecureGPT to generate Strategic & Risk Insights, and writes structured results to company_risk_insights. For each company, assemble a prompt from: relevant filing sections (MD&A, Risk Factors, 8-K events, governance proxy) + recent news headlines + sentiment scores. Call SecureGPT with a structured output prompt requesting a JSON array of insight objects. Each insight must include: category (Governance & Leadership / Risk & Legal / Event Signals / Behavioral Insights), risk_type, severity (high/medium/low), title, body_text, underwriting_relevance, supporting_evidence, source_json (array of cited sources with label and url). Write results to company_risk_insights with batch_date. Implement chunking if source text exceeds context window.","[ ] Prompt template covers all 4 insight categories; [ ] SecureGPT called once per company per batch (or chunked if needed); [ ] Output parsed from JSON — malformed responses retried once then logged and skipped; [ ] All required fields present in every insight object before DB write; [ ] severity validated against allowed values (high/medium/low); [ ] source_json contains at least one source per insight; [ ] Results written to company_risk_insights with correct batch_date; [ ] Old batch data replaced (truncate per company + insert); [ ] Job handles API timeout and rate limit gracefully; [ ] Prompt and output logged to MLflow or job log for auditability; [ ] Unit tests cover prompt assembly and JSON parsing; [ ] End-to-end test with 3 real companies validates output quality"
"[Databricks] SecureGPT — Follow-Up Questions generation",Story,High,8,databricks;ai;securegpt,Sprint 3,"Build a Databricks job that generates Suggested Follow-Up Questions for Brokers using SecureGPT, writing results to company_followup_questions. Input context: same assembled text as risk insights job (SEC filings + news) plus the generated risk insights from the previous job (to ensure question-insight alignment). Call SecureGPT requesting a JSON array of question objects. Each question must include: category (Financial / Operational / Market / Strategy / Governance), question_text, summary (context behind the question), following_risk (risk being probed), underwriting_relevance, source_json. Target 12–15 questions per company. Write results with batch_date.","[ ] Questions generated for all 5 categories; [ ] Each question object contains all required fields; [ ] Questions are grounded in the source text (not hallucinated); [ ] 12–15 questions generated per company; [ ] source_json contains cited sources; [ ] Results written to company_followup_questions with correct batch_date; [ ] Old batch data replaced per company; [ ] Job depends on risk insights job completing first (DAG dependency); [ ] Malformed JSON output retried once then skipped with log; [ ] Unit tests cover prompt assembly and parsing; [ ] End-to-end test validates question quality and source grounding"
"[Databricks] SecureGPT — Key Insights Summary generation",Story,High,6,databricks;ai;securegpt,Sprint 3,"Build a Databricks job that generates the Key Insights Summary cards (visible at top of detail page) using SecureGPT. Input: assembled SEC + news text. Output: JSON array of 8–10 insight cards, each with: title, summary_text, severity (red/yellow/green), insight_type. These are high-level executive summaries distinct from the detailed Strategic & Risk Insights. Write to company_insights with batch_date.","[ ] 8–10 insight cards generated per company; [ ] Each card has title, summary_text, severity, insight_type; [ ] severity validated as red/yellow/green; [ ] Results written to company_insights with batch_date; [ ] Old batch replaced per company; [ ] Malformed output handled gracefully; [ ] Unit tests cover prompt and parsing; [ ] End-to-end test validates card quality"
"[Databricks] SecureGPT — insight-to-insight relation mapping",Story,Medium,5,databricks;ai;securegpt,Sprint 3,"Build a Databricks job that uses SecureGPT (or deterministic heuristics) to map relationships between: (1) risk insights → related key insights, (2) follow-up questions → related key insights, related metrics, and related risks. These relations power the Related Key Insight / Related Metrics / Related Risks tabs in the detail modals. Write to company_insight_relations table.","[ ] Relations generated for risk_insight → key_insight; [ ] Relations generated for followup_question → key_insight, metric, risk_insight; [ ] company_insight_relations populated with correct source_type / source_id / target_type / target_id; [ ] At least 1 related key insight per risk insight and follow-up question; [ ] Old relations replaced per company per batch; [ ] Unit tests cover relation parsing; [ ] End-to-end test: modal tabs show correct related items"
