Summary,Issue Type,Priority,Story Points,Labels,Sprint,Description,Acceptance Criteria
FastAPI project scaffold,Story,High,2,setup,Sprint 1,"Initialize FastAPI project with standard directory structure (routers / models / schemas / utils). Configure uvicorn as ASGI server. Set up environment variable loading via python-dotenv (.env.dev / .env.prod). Implement /health endpoint. Add basic logging configuration.","[ ] FastAPI app initializes without errors; [ ] Directory structure follows routers/models/schemas/utils convention; [ ] /health returns {status: ok} with 200; [ ] Environment variables loaded from .env file; [ ] uvicorn starts correctly; [ ] Logging outputs to stdout in structured format"
Azure SQL connection & session management,Story,High,4,setup,Sprint 1,"Set up Azure SQL database connection using SQLAlchemy with pyodbc driver. Configure connection pool (pool_size, max_overflow, pool_timeout). Implement Azure AD Service Principal authentication for the database connection. Add connection retry logic with exponential backoff. Expose a get_db() dependency for FastAPI route injection.","[ ] SQLAlchemy engine connects to Azure SQL successfully; [ ] Service Principal auth works (no username/password in code); [ ] Connection pool configured with appropriate limits; [ ] Retry logic handles transient connection failures; [ ] get_db() dependency yields session and closes on exit; [ ] Connection string built from env variables only"
Auth middleware (Azure AD),Story,High,4,auth,Sprint 1,"Implement JWT token validation middleware for Azure AD tokens. Validate token signature, issuer, audience, and expiry. Extract user_id (oid claim) and email (upn or email claim) from validated token. Inject user context into FastAPI request state. Return 401 on missing or invalid token. Exclude /health from auth requirement.","[ ] Valid Azure AD JWT passes validation; [ ] Expired or tampered token returns 401; [ ] user_id and email correctly extracted from token claims; [ ] User context available via request.state.user in all protected routes; [ ] /health endpoint bypasses auth; [ ] Token validation uses Azure AD JWKS endpoint (no hardcoded secrets)"
Global error handling & response schema,Story,High,2,setup,Sprint 1,"Define unified response envelope: {data, error, meta}. Implement global FastAPI exception handlers for HTTPException, SQLAlchemy errors, and unhandled exceptions. All endpoints must return responses conforming to the envelope schema. Add request ID to response headers for traceability.","[ ] All successful responses follow {data: ..., error: null, meta: {request_id, timestamp}}; [ ] All error responses follow {data: null, error: {code, message}, meta: ...}; [ ] HTTPException mapped to appropriate envelope; [ ] SQLAlchemy errors return 500 without leaking stack traces; [ ] Request ID generated per request and returned in X-Request-ID header"
CORS & OpenShift deployment config,Story,High,2,setup,Sprint 1,"Configure CORS middleware with allowed origins whitelist (dev + prod frontend URLs). Write Dockerfile for FastAPI app (python:3.11-slim base, non-root user). Write OpenShift deployment YAML (Deployment, Service, Route). Integrate with Harness CI/CD pipeline for build and deploy to OpenShift namespace.","[ ] CORS allows requests from configured frontend origins only; [ ] Dockerfile builds successfully and runs as non-root user; [ ] OpenShift Deployment YAML applies without errors; [ ] Service and Route expose the BFF correctly; [ ] Harness pipeline builds image and deploys to correct namespace; [ ] Health check passes post-deploy"
Shared TypeScript interfaces & API contract,Story,High,3,setup,Sprint 1,"Define TypeScript interfaces for all BFF request and response shapes. Place in frontend repo at src/types/api.ts. This file is the single source of truth for the API contract — any BFF endpoint change must update this file first. Cover all endpoints: companies, favorites, recent, activity, preferences, insights, metrics, trends, loan portfolio, risk insights, activity feed, follow-up questions, export.","[ ] src/types/api.ts covers request/response types for all 18 BFF endpoints; [ ] Types are exported and imported by both mock data files and React Query hooks; [ ] No any types used; [ ] Reviewed and agreed by both FE and BFF engineers before Sprint 2 begins"
Mock data alignment with API contract,Story,High,2,setup,Sprint 1,"Update all frontend mock data files (src/mocks/*.ts) to conform exactly to the interfaces defined in BFF-019 (src/types/api.ts). Ensures that switching from mock to real BFF requires only a base URL change and zero type fixes.","[ ] All mock data files import and satisfy types from src/types/api.ts; [ ] TypeScript compiler passes with no errors on mock data; [ ] Mock response shapes match real API contract field-for-field; [ ] No fields present in mock that are absent from interface definitions"
Pydantic response models,Story,High,3,setup,Sprint 1,"Define Pydantic v2 models for all BFF endpoint responses, mirroring the TypeScript interfaces in BFF-019. Use model_config for JSON serialization settings (alias, populate_by_name). Attach response_model to all FastAPI route decorators. Verify OpenAPI docs auto-generated at /docs reflect correct schemas.","[ ] Pydantic models defined for all endpoint responses; [ ] Field names and types match TypeScript interfaces in BFF-019; [ ] All route decorators have response_model set; [ ] /docs shows correct request/response schemas; [ ] snake_case Python fields serialize to camelCase JSON for frontend consumption"
Company search endpoint,Story,High,3,read,Sprint 2,"Implement GET /api/companies/search?q=&limit=&offset=. Query the companies table for records where name LIKE %q%. Return id, name, industry, sub_industry, location_city, location_state, logo_url. Support pagination via limit (default 10, max 50) and offset. Results ordered by name ascending. Unblocks FE-007.","[ ] Returns matching companies for partial name search (case-insensitive); [ ] Pagination works correctly with limit and offset; [ ] Empty query string returns empty results (no full table scan); [ ] Response conforms to CompanySearchResult[] interface; [ ] SQL injection safe (parameterized query); [ ] Responds in under 500ms for typical queries"
Favorites CRUD,Story,High,4,write,Sprint 2,"Implement three endpoints for user favorites. GET /api/companies/favorites returns current user's favorited companies with all fields needed for CompanyCard (name, industry, location, risk flag count, follow-up question count, updated_at, pinned). POST /api/favorites/:company_id adds a favorite. DELETE /api/favorites/:company_id removes a favorite. user_id sourced from auth middleware. Unblocks FE-009 and FE-011.","[ ] GET returns favorited companies for authenticated user only; [ ] All CompanyCard fields included in response; [ ] POST creates favorite record; returns 409 if already favorited; [ ] DELETE removes favorite; returns 404 if not found; [ ] All operations use user_id from request.state.user; [ ] Response conforms to FavoriteCompany[] interface"
Recently Viewed endpoints,Story,High,3,write,Sprint 2,"Implement GET /api/companies/recent returning the authenticated user's 30-day viewing history as a list with fields for table display (name, industry, location, risk_flag_count, follow_up_question_count, viewed_at). Implement POST /api/companies/recent/:company_id to record a view event — this also writes to user_activity table (event_type: view_company). Return at most 50 records ordered by viewed_at descending. Unblocks FE-010.","[ ] GET returns viewing history for last 30 days; [ ] Results ordered by viewed_at descending; [ ] Maximum 50 records returned; [ ] POST inserts into user_recent_views and user_activity atomically; [ ] Duplicate views within 1 hour are deduplicated (upsert on company_id + user_id with updated_at); [ ] Response conforms to RecentCompany[] interface"
User activity tracking endpoint,Story,High,3,write,Sprint 2,"Implement POST /api/activity. Accepts event_type (view_company / click_risk_flags / click_followup / update_metrics), company_id, metadata (JSON), and timestamp. Writes to user_activity table asynchronously using FastAPI BackgroundTasks so the response returns immediately without waiting for the DB write. Unblocks FE-027.","[ ] Endpoint returns 202 Accepted immediately; [ ] DB write happens in background task; [ ] Accepts all four event_type values; [ ] metadata stored as JSON in user_activity.metadata column; [ ] Invalid event_type returns 400; [ ] user_id sourced from auth token, not request body"
User metric preferences endpoints,Story,Medium,3,write,Sprint 2,"Implement GET /api/users/preferences/:company_id returning the user's saved metric selections for a given company. Implement PUT /api/users/preferences/:company_id accepting selected_metrics as a JSON array of metric names and upserting into user_metric_preferences. Unblocks FE-023 and FE-019.","[ ] GET returns selected_metrics array for user + company combination; [ ] GET returns empty array (not 404) if no preferences saved yet; [ ] PUT upserts correctly (insert on first save, update on subsequent); [ ] selected_metrics stored and returned as string array; [ ] Response conforms to UserPreferences interface"
Company profile endpoint,Story,High,2,read,Sprint 2,"Implement GET /api/companies/:id returning full company profile: id, name, industry, sub_industry, location_city, location_state, logo_url, updated_at, plus is_favorited boolean for the authenticated user. Unblocks FE-012.","[ ] Returns correct company data for given id; [ ] Returns 404 if company not found; [ ] is_favorited reflects current user's favorites; [ ] updated_at reflects latest batch_date; [ ] Response conforms to CompanyProfile interface"
Key Insights endpoint,Story,High,2,read,Sprint 3,"Implement GET /api/companies/:id/insights. Returns the 6 most recent insight cards from company_insights table filtered by company_id and latest batch_date. Each insight includes: insight_type, severity (red/yellow/green), title, summary_text. Unblocks FE-013.","[ ] Returns exactly 6 insights (or fewer if less exist); [ ] Filtered to latest batch_date; [ ] severity values are red / yellow / green only; [ ] Returns 404 if company not found; [ ] Response conforms to CompanyInsight[] interface"
Metrics endpoints,Story,High,4,read,Sprint 3,"Implement GET /api/companies/:id/metrics?category= returning metrics from company_metrics table. Optional category filter (capital / profitability / credit_risk / exposure). Returns metric_name, metric_value, metric_unit, period_date for the latest batch_date. Unblocks FE-014 and FE-021.","[ ] Returns metrics for specified category; [ ] Returns all categories if category param omitted; [ ] Filtered to latest batch_date; [ ] Response includes metric_name / metric_value / metric_unit / period_date; [ ] Returns empty array (not 404) if no metrics for category; [ ] Response conforms to CompanyMetric[] interface"
Performance Trends endpoint,Story,High,3,read,Sprint 3,"Implement GET /api/companies/:id/trends?name= returning time series data from company_performance_trends. Optional name filter for trend_name. Response format: array of {name, data: [[date_string, value], ...]} ready for direct ECharts consumption. Unblocks FE-020.","[ ] Returns trend data in [[date, value], ...] format per series; [ ] Dates formatted as ISO date strings (YYYY-MM-DD); [ ] Optional name filter works correctly; [ ] Returns all trends if name param omitted; [ ] Data ordered by period_date ascending; [ ] Response conforms to PerformanceTrend[] interface"
Loan Portfolio endpoint,Story,Medium,2,read,Sprint 3,"Implement GET /api/companies/:id/loan-portfolio returning rows from company_loan_portfolio for the latest period_date. Fields: loan_type, balance, pct_of_total, yoy_growth, npl_ratio. Include a totals row. Unblocks FE-015.","[ ] Returns all loan type rows for latest period_date; [ ] Totals row included in response with loan_type: 'Total'; [ ] yoy_growth returned as decimal (e.g. 0.048 for 4.8%); [ ] Returns empty array if no data; [ ] Response conforms to LoanPortfolioRow[] interface"
Strategic & Risk Insights endpoint,Story,High,3,read,Sprint 3,"Implement GET /api/companies/:id/risk-insights?category= returning records from company_risk_insights. Optional category filter (risk_legal / event_signals / qualitative / governance). Each record includes: category, severity, title, body_text, source_date. Filtered to latest batch_date. Unblocks FE-016.","[ ] Returns risk insights for specified category; [ ] Returns all categories if category param omitted; [ ] Filtered to latest batch_date; [ ] severity values are high / medium / low; [ ] Response conforms to RiskInsight[] interface"
Recent Activity & Follow-Up Questions endpoints,Story,Medium,3,read,Sprint 3,"Implement GET /api/companies/:id/activity returning events from company_activity ordered by event_date descending (max 20). Implement GET /api/companies/:id/follow-up-questions?category= returning questions from company_followup_questions with optional category filter. Both filtered to latest batch_date. Unblocks FE-017 and FE-018.","[ ] Activity returns max 20 events ordered by event_date desc; [ ] Each activity includes activity_type, icon_color, title, summary_text, event_date; [ ] Follow-up questions support category filter; [ ] Both endpoints return empty arrays (not 404) when no data; [ ] Responses conform to CompanyActivity[] and FollowUpQuestion[] interfaces"
Export to Email endpoint,Story,Medium,5,write,Sprint 3,"Implement POST /api/companies/:id/export-email. Aggregate company profile, key insights, risk insights, and follow-up questions into a structured HTML email template. Send via Azure Communication Services Email SDK (or fallback SMTP). Email sent to authenticated user's email address (from token). Return 202 on successful dispatch.","[ ] Email assembled with company name, key insights summary, top risk insights, and follow-up questions; [ ] HTML email renders correctly in Outlook and Gmail; [ ] Sent to user email from Azure AD token; [ ] Returns 202 Accepted on successful send; [ ] Returns 500 with error envelope if send fails; [ ] No sensitive data (raw SQL values, internal IDs) exposed in email body"
