Summary,Issue Type,Priority,Story Points,Labels,Sprint,Assignee,Description,Acceptance Criteria
API client & BFF integration layer,Story,High,3,setup;api,Sprint 2,Engineer B,"Set up axios HTTP client with base URL config pointing to BFF. Implement request/response interceptors for auth token injection and error normalization. Wire up mock adapter (axios-mock-adapter) so all endpoints return mock data until BFF is ready. Environment-based base URL switching (.env.dev / .env.prod).","[ ] axios instance created with base URL from env variable; [ ] Auth token injected via request interceptor; [ ] Mock adapter wired and returning shaped mock data for all defined endpoints; [ ] 401/403/5xx errors normalized and surfaced consistently; [ ] Switching VITE_API_BASE_URL swaps between mock and real BFF with no code changes"
React Query setup & caching strategy,Story,High,4,setup,Sprint 2,Engineer B,"Install and configure TanStack Query (React Query v5). Set global defaults: staleTime, gcTime, refetchOnWindowFocus strategy. Add QueryClientProvider at app root. Implement prefetch-on-hover for company cards so detail page data is ready before navigation.","[ ] QueryClientProvider wraps app root; [ ] Global staleTime set to 5 min; [ ] refetchOnWindowFocus disabled; [ ] Prefetch triggered on CompanyCard hover using queryClient.prefetchQuery; [ ] DevTools enabled in dev mode only"
Global search typeahead,Story,High,5,feat,Sprint 2,Engineer C,"Implement search input in NavBar with 300ms debounce. Call GET /api/companies/search?q= on each debounced keystroke. Display dropdown with results showing company name, industry, and location. Support keyboard navigation (arrow keys + Enter). Clicking or selecting a result navigates to /company/:id. Depends on FE-003.","[ ] Debounce 300ms before firing search request; [ ] Dropdown renders name + industry + location per result; [ ] Keyboard navigation works (ArrowUp / ArrowDown / Enter / Escape); [ ] Clicking result navigates to detail page; [ ] Empty state shown when no results; [ ] Loading spinner shown during fetch; [ ] Closes on outside click"
Responsive layout,Story,Medium,3,ux,Sprint 2,Engineer C,"Implement responsive breakpoints for Landing page card grid and Detail page two-column layout. Landing: cards wrap gracefully at tablet/mobile widths. Detail: right-side Recent Activity panel stacks below main content on narrow screens.","[ ] Landing card grid: 4 cols desktop, 2 cols tablet, 1 col mobile; [ ] Detail page: two-column layout collapses to single column below 1024px; [ ] No horizontal scroll at any breakpoint; [ ] NavBar search bar adapts to mobile width"
Detail page layout & header,Story,High,3,feat,Sprint 3,Engineer A,"Build the detail page shell layout. Header includes: company logo, name, industry, location, last updated timestamp. Action buttons: SAVE PREFERENCES and EXPORT TO EMAIL. Floating favorite star button (top-right). Back to Dashboard link. Two-column layout: main content (left) + Recent Activity sidebar (right).","[ ] Header renders company name / industry / location / updated_at from GET /api/companies/:id; [ ] SAVE PREFERENCES button visible and wired to handler (logic in FE-019); [ ] EXPORT TO EMAIL button visible and wired to handler (logic in FE-019); [ ] Floating favorite button toggles state with optimistic update; [ ] Back link navigates to /; [ ] Two-column layout renders correctly"
Key Insights Summary section,Story,High,4,feat,Sprint 3,Engineer A,"Render 6 insight cards from GET /api/companies/:id/insights. Each card shows: severity icon (red/amber/green), title, and summary text. Cards arranged in a 2x3 or 3x2 grid. Severity color-codes the left border or icon of each card.","[ ] 6 cards rendered from API response; [ ] Severity correctly maps to red / amber / green visual treatment; [ ] Title and summary text displayed; [ ] Loading skeleton shown while fetching; [ ] Empty state if no insights returned"
Recent Activity timeline,Story,Medium,3,feat,Sprint 3,Engineer A,"Render the Recent Activity panel in the right sidebar. Display events as a vertical timeline from GET /api/companies/:id/activity. Each event shows: colored icon (by activity_type), title, summary snippet, and event_date. Events ordered by date descending.","[ ] Timeline renders events from API; [ ] Event icon color maps to activity_type; [ ] Date formatted as relative (e.g. '2 days ago') with full date on hover; [ ] Loading skeleton shown while fetching; [ ] Empty state handled"
User Activity Tracking,Story,High,3,api,Sprint 3,Engineer A,"Implement useActivityTracker custom hook. Hook exposes a track(event) function that fires POST /api/activity as fire-and-forget (no await, silent failure). Trigger points: (1) view_company on detail page mount, (2) click_risk_flags / click_followup on badge click, (3) update_metrics on SELECT METRICS save. Attach to relevant components.","[ ] useActivityTracker hook implemented; [ ] POST /api/activity called on: detail page mount (view_company), Risk Flags badge click, Follow-Up Questions badge click, SELECT METRICS save; [ ] Failures are swallowed silently and do not affect UI; [ ] event_type / company_id / metadata / timestamp sent correctly per event type"
Collapsible metrics sections,Story,High,4,ux,Sprint 3,Engineer B,"Build four collapsible accordion sections: Capital & Liquidity Metrics, Profitability Metrics, Credit Risk Metrics, Exposure Metrics. Each section has a header with SELECT METRICS button and expand/collapse toggle. Collapsed by default. Smooth expand/collapse animation. SELECT METRICS button opens modal (FE-023).","[ ] Four sections render with correct labels; [ ] All sections collapsed by default; [ ] Expand/collapse toggle works with smooth CSS transition; [ ] SELECT METRICS button visible in header and opens modal; [ ] Expanded section renders metric rows (name + value + unit) from GET /api/companies/:id/metrics?category="
Loan Portfolio Composition table,Story,Medium,3,feat,Sprint 3,Engineer B,"Render loan portfolio data from GET /api/companies/:id/loan-portfolio as a table. Columns: Loan Type, Balance ($M), % of Total, YoY Growth, NPL Ratio. YoY Growth cell color-coded: green for positive, red for negative. Total row at bottom.","[ ] Table renders all loan types from API; [ ] Balance formatted as currency; [ ] % of Total formatted as percentage; [ ] YoY Growth positive = green text, negative = red text; [ ] Total row rendered at bottom; [ ] Loading skeleton shown while fetching"
